sender,sender_type,receiver,receiver_type,date,amount,risk,risk_type,total_donasi_sender,jumlah_transaksi_sender,rata_rata_donasi_sender,std_donasi_sender,jumlah_donasi_30hari_sender,selang_waktu_rata2_sender,receiver_unik_per_sender,degree_centrality_sender,sender_unik_per_receiver,degree_centrality_receiver,max_donasi_satu_receiver,proporsi_donasi_terbesar_per_sender,flag_donasi_melebihi_batas
PT Dongoran Tbk,organization,Vivi Maulana,individual,2024-12-21,93085569,True,smurfing,93085569,1,93085569.0,,1.0,,1,1,1,1,93085569,1.0,False
UD Dabukke,corporation,Wani Rahayu,individual,2024-11-29,11800069866,True,self_funded,11800069866,1,11800069866.0,,1.0,,1,1,1,1,11800069866,1.0,False
Kamal Firgantoro,individual,Partai Amanat Rakyat,political-party,2025-06-30,77289598,False,,77289598,1,77289598.0,,1.0,,1,1,411,411,77289598,1.0,False
Perum Winarsih,corporation,Ikhsan Zulaika,individual,2025-09-30,15006804930,False,,15276771912,3,5092257304.0,8586674460.660924,1.0,125.0,3,3,1,1,15006804930,0.9823282704255119,False
Perum Pudjiastuti Prasetyo (Persero) Tbk,corporation,"Ina Sitompul, M.M.",individual,2024-11-15,21149281157,False,,21149281157,1,21149281157.0,,1.0,,1,1,1,1,21149281157,1.0,False
Kamal Widiastuti,individual,Humaira Mustofa,individual,2025-11-07,560397355,False,,560397355,1,560397355.0,,1.0,,1,1,1,1,560397355,1.0,False
PT Pertiwi Uwais,organization,Simon Sihotang,individual,2024-10-22,6620916,True,smurfing,6620916,1,6620916.0,,1.0,,1,1,1,1,6620916,1.0,False
Niyaga Anggriawan,individual,Yani Jailani,individual,2025-03-16,2209973098,False,,2209973098,1,2209973098.0,,1.0,,1,1,1,1,2209973098,1.0,False
"Hj. Puspa Hidayat, S.H.",individual,Partai Keadilan Indonesia,political-party,2024-09-19,48967808,False,,48967808,1,48967808.0,,1.0,,1,1,422,422,48967808,1.0,False
PT Widodo Sitompul (Persero) Tbk,corporation,Partai Solidaritas Indonesia,political-party,2024-02-08,61233556,True,smurfing,61233556,1,61233556.0,,1.0,,1,1,431,431,61233556,1.0,False
Perum Sihombing Tbk,corporation,"Hamima Haryanti, S.Ked",individual,2025-11-08,23792662805,True,self_funded,23869238557,2,11934619278.5,16769805978.386784,1.0,657.0,2,2,1,1,23792662805,0.9967918644820974,False
Dr. Zalindra Januar,individual,Partai Harapan Bangsa,political-party,2025-07-27,39159188,False,,39159188,1,39159188.0,,1.0,,1,1,436,436,39159188,1.0,False
Sadina Marbun,individual,Ratih Wulandari,individual,2025-03-28,420601494,False,,420601494,1,420601494.0,,1.0,,1,1,1,1,420601494,1.0,False
PT Novitasari Thamrin Tbk,organization,Sutan Jatmiko Safitri,individual,2024-05-11,6376749281,False,,6376749281,1,6376749281.0,,1.0,,1,1,1,1,6376749281,1.0,False
PD Puspasari Sudiati,corporation,Darmana Saefullah,individual,2025-12-04,16496889311,True,self_funded,16496889311,1,16496889311.0,,1.0,,1,1,1,1,16496889311,1.0,False
PD Marpaung Prasasta,corporation,Winda Manullang,individual,2025-05-16,1786062877,True,proxy,1786062877,1,1786062877.0,,1.0,,1,1,1,1,1786062877,1.0,False
Perum Prasasta Suartini,corporation,Tgk. Fathonah Hidayanto,individual,2024-01-23,18813501684,False,,18813501684,1,18813501684.0,,1.0,,1,1,1,1,18813501684,1.0,False
Asman Rahmawati,individual,"R. Ida Adriansyah, M.Kom.",individual,2024-08-28,101805537,False,,101805537,1,101805537.0,,1.0,,1,1,1,1,101805537,1.0,False
"Tgk. Juli Puspasari, S.Pd",individual,Partai Keadilan Indonesia,political-party,2024-01-27,17864175,False,,17864175,1,17864175.0,,1.0,,1,1,422,422,17864175,1.0,False
Dipa Rahayu,individual,Ina Handayani,individual,2025-03-16,717006254,True,self_funded,717006254,1,717006254.0,,1.0,,1,1,1,1,717006254,1.0,False
Perum Safitri (Persero) Tbk,organization,Puti Vanesa Pranowo,individual,2025-04-30,37626569538,True,over_limit,38902739261,2,19451369630.5,25703614208.028725,1.0,401.0,2,2,1,1,37626569538,0.9671958903860696,False
"Puti Saputra, S.Gz",individual,Samiah Haryanto,individual,2024-06-07,1539983778,False,,1539983778,1,1539983778.0,,1.0,,1,1,1,1,1539983778,1.0,False
PD Safitri Hakim,organization,Hartaka Nashiruddin,individual,2025-09-30,1393468097,True,proxy,1393468097,1,1393468097.0,,1.0,,1,1,1,1,1393468097,1.0,False
UD Maryadi Kuswoyo,organization,Partai Indonesia Maju,political-party,2024-10-06,189558099,False,,189558099,1,189558099.0,,1.0,,1,1,411,411,189558099,1.0,False
CV Dongoran Tamba,corporation,Malik Kuswandari,individual,2024-04-14,39517374,True,smurfing,39517374,1,39517374.0,,1.0,,1,1,1,1,39517374,1.0,False
PT Budiman Megantara Tbk,corporation,KH. Purwa Irawan,individual,2025-01-22,583044325,True,proxy,583044325,1,583044325.0,,1.0,,1,1,1,1,583044325,1.0,False
"Karya Yulianti, S.I.Kom",individual,Kairav Wibowo,individual,2024-06-22,1701311855,True,self_funded,1701311855,1,1701311855.0,,1.0,,1,1,1,1,1701311855,1.0,False
PT Wibisono (Persero) Tbk,corporation,Tami Hutagalung,individual,2025-07-22,23621920367,True,self_funded,23628028131,2,11814014065.5,16698901234.812033,1.0,153.0,2,2,1,1,23621920367,0.999741503439638,False
CV Sudiati Waskita,organization,Partai Nasional Demokrat,political-party,2024-05-01,457401295,True,proxy,457401295,1,457401295.0,,1.0,,1,1,434,434,457401295,1.0,False
"dr. Kamila Napitupulu, S.E.",individual,Partai Harapan Bangsa,political-party,2024-11-25,171456312,False,,171456312,1,171456312.0,,1.0,,1,1,436,436,171456312,1.0,False
Dodo Sihombing,individual,Ciaobella Manullang,individual,2024-01-29,598164921,False,,598164921,1,598164921.0,,1.0,,1,1,1,1,598164921,1.0,False
UD Wulandari,corporation,Gatra Napitupulu,individual,2024-03-01,18029198139,False,,60742299090,4,15185574772.5,19992943692.92009,1.0,205.66666666666666,4,4,1,1,42384230165,0.6977712533106557,False
CV Hutapea Handayani,corporation,"R. Elvin Wibisono, S.Pt",individual,2025-10-01,16340995692,True,self_funded,16340995692,1,16340995692.0,,1.0,,1,1,1,1,16340995692,1.0,False
Sakura Najmudin,individual,Partai Solidaritas Indonesia,political-party,2025-06-26,49756508,True,smurfing,49756508,1,49756508.0,,1.0,,1,1,431,431,49756508,1.0,False
Zulaikha Mardhiyah,individual,"Tgk. Patricia Maryati, S.Sos",individual,2024-02-16,2426122612,True,self_funded,2426122612,1,2426122612.0,,1.0,,1,1,1,1,2426122612,1.0,False
Pemerintah Kota Surabaya,organization,Maimunah Usamah,individual,2024-08-23,8491569845,True,illegal_source,134391584172,19,7073241272.210526,7486409255.628705,4.0,32.05555555555556,18,18,1,1,23726174592,0.17654509200244448,False
Ibun Waskita,individual,Partai Nasional Demokrat,political-party,2024-05-19,139313767,False,,139313767,1,139313767.0,,1.0,,1,1,434,434,139313767,1.0,False
PD Manullang Saputra,organization,Karman Waluyo,individual,2024-04-07,1208210724,True,proxy,1208210724,1,1208210724.0,,1.0,,1,1,1,1,1208210724,1.0,False
Maryanto Adriansyah,individual,Partai Indonesia Maju,political-party,2024-12-18,3725321,False,,3725321,1,3725321.0,,1.0,,1,1,411,411,3725321,1.0,False
"Hamima Mayasari, S.E.I",individual,Jayeng Prayoga,individual,2025-05-02,2493259042,True,self_funded,2493259042,1,2493259042.0,,1.0,,1,1,1,1,2493259042,1.0,False
Perum Puspasari Tbk,corporation,"Warta Setiawan, S.Ked",individual,2025-05-27,17999511907,True,self_funded,19547073415,2,9773536707.5,11633285690.877626,1.0,61.0,2,2,1,1,17999511907,0.9208289918831309,False
PT Uyainah Tbk,organization,Partai Rakyat Sejahtera,political-party,2024-10-12,98168702,True,smurfing,98168702,1,98168702.0,,1.0,,1,1,404,404,98168702,1.0,False
PD Dabukke Yuniar Tbk,corporation,Partai Amanat Rakyat,political-party,2024-05-15,189602894,True,proxy,189602894,1,189602894.0,,1.0,,1,1,411,411,189602894,1.0,False
Elma Hassanah,individual,Olivia Nashiruddin,individual,2025-12-30,1938481751,False,,1938481751,1,1938481751.0,,1.0,,1,1,1,1,1938481751,1.0,False
CV Rajasa Latupono,corporation,Galiono Adriansyah,individual,2025-07-10,6375564573,False,,6375564573,1,6375564573.0,,1.0,,1,1,1,1,6375564573,1.0,False
Carla Sihotang,individual,Among Farida,individual,2024-01-09,1885362399,False,,1885362399,1,1885362399.0,,1.0,,1,1,1,1,1885362399,1.0,False
UD Puspita Saptono (Persero) Tbk,organization,Lanang Rajasa,individual,2024-01-05,70453419,True,smurfing,70453419,1,70453419.0,,1.0,,1,1,1,1,70453419,1.0,False
Pranata Winarno,individual,Rosman Hastuti,individual,2024-07-28,1916163381,False,,1916163381,1,1916163381.0,,1.0,,1,1,1,1,1916163381,1.0,False
Kariman Sihotang,individual,Partai Kebangkitan Rakyat,political-party,2025-11-16,107716433,False,,107716433,1,107716433.0,,1.0,,1,1,382,382,107716433,1.0,False
"dr. Bakiadi Wijayanti, M.Farm",individual,Cut Novi Saptono,individual,2024-11-02,2103085368,False,,2103085368,1,2103085368.0,,1.0,,1,1,1,1,2103085368,1.0,False
PD Sirait,organization,"Tgk. Cici Maryati, S.E.",individual,2025-01-22,4596144342,False,,4596144342,1,4596144342.0,,1.0,,1,1,1,1,4596144342,1.0,False
Syahrini Suwarno,individual,Prakosa Hutapea,individual,2025-05-05,513723494,False,,513723494,1,513723494.0,,1.0,,1,1,1,1,513723494,1.0,False
"Sakura Megantara, M.TI.",individual,Gambira Adriansyah,individual,2024-06-04,1117266053,True,self_funded,1117266053,1,1117266053.0,,1.0,,1,1,1,1,1117266053,1.0,False
CV Anggriawan Simbolon,organization,"R. Vivi Saputra, M.TI.",individual,2025-09-23,922914016,True,proxy,922914016,1,922914016.0,,1.0,,1,1,1,1,922914016,1.0,False
PT Sihombing,corporation,Halim Prasasta,individual,2024-08-25,37962234280,True,over_limit,61485748447,3,20495249482.333332,15346850460.363516,1.0,137.0,3,3,1,1,37962234280,0.6174151773190661,True
PD Waskita,corporation,Partai Solidaritas Indonesia,political-party,2025-11-16,56262151,False,,6283079609,2,3141539804.5,4363241501.266338,1.0,520.0,2,2,431,431,6226817458,0.9910454499224538,False
PD Puspita Puspasari (Persero) Tbk,corporation,Fitria Maryati,individual,2025-03-27,229009349,True,proxy,229009349,1,229009349.0,,1.0,,1,1,1,1,229009349,1.0,False
UD Napitupulu (Persero) Tbk,organization,Nyoman Mardhiyah,individual,2024-03-12,8807446088,False,,9529873422,3,3176624474.0,4885194570.711723,1.0,117.0,3,3,1,1,8807446088,0.9241933967000805,False
CV Januar (Persero) Tbk,organization,"Sutan Dodo Siregar, S.I.Kom",individual,2024-02-10,985541731,True,proxy,2569430319,3,856476773.0,761311262.484129,1.0,245.0,3,3,1,1,1545005723,0.6013028302714599,False
Citra Usamah,individual,"Lutfan Najmudin, M.TI.",individual,2024-01-24,2217289674,False,,2217289674,1,2217289674.0,,1.0,,1,1,1,1,2217289674,1.0,False
"Upik Wahyudin, S.Psi",individual,Partai Nasional Demokrat,political-party,2025-09-21,157089184,False,,157089184,1,157089184.0,,1.0,,1,1,434,434,157089184,1.0,False
UD Jailani (Persero) Tbk,organization,Cengkir Astuti,individual,2024-12-14,46605746,True,smurfing,1009244683,2,504622341.5,647733281.1480519,1.0,228.0,2,2,1,1,962638937,0.9538211627120358,False
"Rina Farida, S.E.I",individual,Partai Harapan Bangsa,political-party,2024-09-30,90990830,False,,90990830,1,90990830.0,,1.0,,1,1,436,436,90990830,1.0,False
PT Aryani Situmorang Tbk,corporation,Kamaria Hakim,individual,2025-05-28,59391776,True,smurfing,59391776,1,59391776.0,,1.0,,1,1,1,1,59391776,1.0,False
Shakila Hassanah,individual,Raharja Laksita,individual,2024-12-09,1455719157,True,self_funded,1455719157,1,1455719157.0,,1.0,,1,1,1,1,1455719157,1.0,False
PD Wasita Maheswara Tbk,organization,Partai Demokrat,political-party,2025-12-29,990998631,True,proxy,990998631,1,990998631.0,,1.0,,1,1,429,429,990998631,1.0,False
UD Saefullah,corporation,Tgk. Banara Siregar,individual,2024-12-28,1396517303,True,proxy,2129414912,3,709804970.6666666,636446823.7615995,1.0,209.5,3,3,1,1,1396517303,0.6558220735330326,False
UD Pranowo,corporation,Drs. Vicky Nasyiah,individual,2024-10-10,16416263308,False,,18640005996,4,4660001499.0,7856149562.111895,1.0,196.66666666666666,4,4,1,1,16416263308,0.8807005379463291,False
PT Pertiwi Mandala,corporation,Qori Widodo,individual,2024-12-20,1261355288,True,proxy,1261355288,1,1261355288.0,,1.0,,1,1,1,1,1261355288,1.0,False
Dr. Rama Rahmawati,individual,Partai Nasional Demokrat,political-party,2025-12-21,158632342,False,,158632342,1,158632342.0,,1.0,,1,1,434,434,158632342,1.0,False
CV Setiawan Maulana Tbk,organization,Partai Amanat Rakyat,political-party,2025-01-04,99568623,True,smurfing,99568623,1,99568623.0,,1.0,,1,1,411,411,99568623,1.0,False
Perum Lazuardi Budiman,corporation,Partai Keadilan Indonesia,political-party,2025-07-12,38745911,True,smurfing,38745911,1,38745911.0,,1.0,,1,1,422,422,38745911,1.0,False
Edward Situmorang,individual,Zalindra Mandasari,individual,2024-03-01,1491407333,False,,1491407333,1,1491407333.0,,1.0,,1,1,1,1,1491407333,1.0,False
CV Salahudin Najmudin,corporation,Teguh Narpati,individual,2024-08-10,15788083613,True,self_funded,15788083613,1,15788083613.0,,1.0,,1,1,1,1,15788083613,1.0,False
Martani Pratama,individual,Partai Kebangkitan Rakyat,political-party,2025-11-02,23960628,False,,23960628,1,23960628.0,,1.0,,1,1,382,382,23960628,1.0,False
"Ihsan Fujiati, S.E.",individual,Upik Nababan,individual,2025-09-26,59740527,True,self_funded,59740527,1,59740527.0,,1.0,,1,1,1,1,59740527,1.0,False
Pemerintah Kota Surabaya,organization,"Dt. Sakti Yolanda, S.Psi",individual,2024-07-31,17035586969,True,illegal_source,134391584172,19,7073241272.210526,7486409255.628705,2.0,32.05555555555556,18,18,1,1,23726174592,0.17654509200244448,False
Perum Manullang Tbk,corporation,Partai Kebangkitan Rakyat,political-party,2024-12-25,651884601,False,,2358052809,2,1179026404.5,745491087.803513,1.0,180.0,2,2,382,382,1706168208,0.723549617501378,False
Jessica Saptono,individual,Partai Indonesia Maju,political-party,2025-11-21,29093777,False,,29093777,1,29093777.0,,1.0,,1,1,411,411,29093777,1.0,False
"Digdaya Usamah, S.Sos",individual,Partai Harapan Bangsa,political-party,2024-04-14,124778675,False,,124778675,1,124778675.0,,1.0,,1,1,436,436,124778675,1.0,False
KH. Wawan Prasetyo,individual,"R. Nasrullah Rahmawati, S.Pt",individual,2025-06-15,1374732905,False,,1374732905,1,1374732905.0,,1.0,,1,1,1,1,1374732905,1.0,False
CV Hidayanto (Persero) Tbk,corporation,Gantar Zulaika,individual,2025-03-02,7342038084,True,self_funded,14038682948,2,7019341474.0,456361922.3938213,1.0,268.0,2,2,1,1,7342038084,0.5229862453048684,False
Bakidin Kusmawati,individual,"R.M. Harsanto Prasetyo, S.H.",individual,2025-11-03,1985775809,False,,1985775809,1,1985775809.0,,1.0,,1,1,1,1,1985775809,1.0,False
UD Gunawan,corporation,Partai Demokrat,political-party,2024-02-20,17558642,False,,11172242617,2,5586121308.5,7875136845.888786,1.0,515.0,2,2,429,429,11154683975,0.998428369074864,False
Ir. Genta Widodo,individual,Partai Nasional Demokrat,political-party,2024-08-17,145265662,False,,145265662,1,145265662.0,,1.0,,1,1,434,434,145265662,1.0,False
"Galih Kuswandari, S.E.I",individual,dr. Latif Permadi,individual,2025-04-22,1421557754,False,,1421557754,1,1421557754.0,,1.0,,1,1,1,1,1421557754,1.0,False
Ana Rahmawati,individual,"Unjani Puspita, M.Kom.",individual,2024-04-27,1497280338,True,self_funded,1497280338,1,1497280338.0,,1.0,,1,1,1,1,1497280338,1.0,False
Siti Samosir,individual,Alika Halim,individual,2024-05-01,1788850137,False,,1788850137,1,1788850137.0,,1.0,,1,1,1,1,1788850137,1.0,False
"Ella Megantara, S.H.",individual,Tgk. Agnes Lestari,individual,2025-10-11,1140545030,False,,1140545030,1,1140545030.0,,1.0,,1,1,1,1,1140545030,1.0,False
UD Simbolon Yolanda,corporation,"Ir. Wirda Hasanah, S.H.",individual,2025-10-16,9049953966,False,,9049953966,1,9049953966.0,,1.0,,1,1,1,1,9049953966,1.0,False
UD Siregar Nugroho,corporation,"drg. Gabriella Wacana, S.E.",individual,2025-09-13,18312207157,False,,18312207157,1,18312207157.0,,1.0,,1,1,1,1,18312207157,1.0,False
CV Simanjuntak,organization,Partai Demokrat,political-party,2025-04-04,19284808,True,proxy,19284808,1,19284808.0,,1.0,,1,1,429,429,19284808,1.0,False
"Lasmono Utami, S.H.",individual,"Cut Eva Nainggolan, S.Farm",individual,2024-07-22,107038274,False,,107038274,1,107038274.0,,1.0,,1,1,1,1,107038274,1.0,False
UD Anggriawan Mandasari,organization,Partai Indonesia Maju,political-party,2025-09-21,11426826,True,smurfing,11426826,1,11426826.0,,1.0,,1,1,411,411,11426826,1.0,False
"Baktianto Siregar, M.M.",individual,Partai Rakyat Sejahtera,political-party,2025-11-02,27790333,False,,27790333,1,27790333.0,,1.0,,1,1,404,404,27790333,1.0,False
"drg. Natalia Sirait, S.Pd",individual,Maida Andriani,individual,2025-09-27,900035717,False,,900035717,1,900035717.0,,1.0,,1,1,1,1,900035717,1.0,False
Pemkab Toba,organization,Edi Hutasoit,individual,2025-08-15,24662215275,True,illegal_source,194854839789,23,8471949556.043478,9784536221.392042,1.0,30.227272727272727,21,21,1,1,32209047875,0.1652976539349898,False
"Cahyanto Suartini, M.Kom.",individual,Tiara Setiawan,individual,2024-08-17,1055135150,False,,1055135150,1,1055135150.0,,1.0,,1,1,2,2,1055135150,1.0,False
Wahyu Nasyiah,individual,Partai Keadilan Indonesia,political-party,2024-05-16,83853392,True,smurfing,83853392,1,83853392.0,,1.0,,1,1,422,422,83853392,1.0,False
PT Najmudin Wacana Tbk,corporation,Danu Waskita,individual,2025-11-06,19263532870,False,,19263532870,1,19263532870.0,,1.0,,1,1,1,1,19263532870,1.0,False
PT Jailani,corporation,Partai Indonesia Maju,political-party,2025-06-06,280703562,False,,5880764890,3,1960254963.3333333,2157837423.182987,1.0,248.5,3,3,411,411,4393954333,0.7471739501900067,False
Umaya Handayani,individual,Bakijan Situmorang,individual,2025-10-15,516154284,True,self_funded,516154284,1,516154284.0,,1.0,,1,1,1,1,516154284,1.0,False
Kementerian Keuangan,organization,"T. Prayogo Wibowo, M.TI.",individual,2025-02-13,13156530434,True,illegal_source,121239029584,18,6735501643.555555,8145412277.847368,1.0,41.0,16,16,1,1,31086516355,0.25640683913146817,False
Hana Hastuti,individual,Partai Rakyat Sejahtera,political-party,2024-08-04,177820824,False,,177820824,1,177820824.0,,1.0,,1,1,404,404,177820824,1.0,False
PD Laksita,corporation,Partai Persatuan,political-party,2024-12-02,284060381,True,proxy,15128834895,3,5042944965.0,7832217328.825298,1.0,92.5,3,3,415,415,14082596820,0.9308447687967184,False
R. Edward Hastuti,individual,Partai Persatuan,political-party,2025-12-29,153469358,False,,153469358,1,153469358.0,,1.0,,1,1,415,415,153469358,1.0,False
"Ir. Sarah Suartini, S.Gz",individual,Bakidin Saefullah,individual,2024-01-26,377557459,True,self_funded,377557459,1,377557459.0,,1.0,,1,1,1,1,377557459,1.0,False
Perum Susanti Tbk,corporation,Partai Solidaritas Indonesia,political-party,2024-03-18,1471826493,True,proxy,1471826493,1,1471826493.0,,1.0,,1,1,431,431,1471826493,1.0,True
Perum Rahayu Nashiruddin (Persero) Tbk,organization,"Dadap Simanjuntak, S.H.",individual,2024-08-30,13124723435,False,,13124723435,1,13124723435.0,,1.0,,1,1,1,1,13124723435,1.0,False
Ami Irawan,individual,"Samiah Widiastuti, S.Pd",individual,2025-03-16,1640958802,False,,1640958802,1,1640958802.0,,1.0,,1,1,1,1,1640958802,1.0,False
"Cut Padma Handayani, M.Kom.",individual,Dr. Suci Mandala,individual,2024-07-21,796676721,True,self_funded,796676721,1,796676721.0,,1.0,,1,1,1,1,796676721,1.0,False
UD Halim,corporation,"Gilda Puspasari, S.Pd",individual,2025-12-22,8561450602,True,self_funded,10138618569,3,3379539523.0,4554901838.575156,1.0,196.0,3,3,1,1,8561450602,0.8444395598605146,False
PD Mansur Firmansyah Tbk,corporation,"Cut Maida Nurdiyanti, S.T.",individual,2025-07-09,22459825009,False,,22459825009,1,22459825009.0,,1.0,,1,1,1,1,22459825009,1.0,False
CV Siregar,corporation,Tina Namaga,individual,2025-05-31,13648376583,True,self_funded,41281490522,7,5897355788.857142,6621179043.400162,1.0,87.66666666666667,7,7,1,1,16545682068,0.4008014695879832,False
Tina Hutagalung,individual,Septi Megantara,individual,2024-04-07,1759095027,False,,1759095027,1,1759095027.0,,1.0,,1,1,1,1,1759095027,1.0,False
Perum Dongoran Mardhiyah,corporation,Partai Harapan Bangsa,political-party,2025-05-28,510513019,False,,510513019,1,510513019.0,,1.0,,1,1,436,436,510513019,1.0,False
Kani Dabukke,individual,Elisa Irawan,individual,2024-02-20,1857598480,False,,1857598480,1,1857598480.0,,1.0,,1,1,1,1,1857598480,1.0,False
CV Simbolon Irawan Tbk,organization,Gina Widodo,individual,2024-09-20,91850977,True,smurfing,91850977,1,91850977.0,,1.0,,1,1,1,1,91850977,1.0,False
Perum Sihombing Suryatmi (Persero) Tbk,organization,Partai Indonesia Maju,political-party,2025-06-02,923641125,True,over_limit,923641125,1,923641125.0,,1.0,,1,1,411,411,923641125,1.0,False
CV Susanti Rajata,corporation,Partai Indonesia Maju,political-party,2025-12-10,28333834,True,smurfing,28333834,1,28333834.0,,1.0,,1,1,411,411,28333834,1.0,False
CV Dongoran Tbk,corporation,Partai Indonesia Maju,political-party,2024-03-07,230725921,False,,735135862,3,245045287.33333334,232460870.37049925,1.0,202.5,3,3,411,411,484334833,0.6588371728762159,False
PD Wahyuni Habibi,corporation,Partai Harapan Bangsa,political-party,2024-11-19,55825145,False,,55825145,1,55825145.0,,1.0,,1,1,436,436,55825145,1.0,False
UD Pradipta Siregar,corporation,Partai Keadilan Indonesia,political-party,2025-06-02,782350529,True,proxy,782350529,1,782350529.0,,1.0,,1,1,422,422,782350529,1.0,False
UD Usamah (Persero) Tbk,corporation,Partai Rakyat Sejahtera,political-party,2024-12-15,165658853,True,proxy,165658853,1,165658853.0,,1.0,,1,1,404,404,165658853,1.0,False
Perum Pratama Suryono,corporation,"Shania Nainggolan, S.Farm",individual,2024-05-20,16656995,True,smurfing,16656995,1,16656995.0,,1.0,,1,1,1,1,16656995,1.0,False
UD Lestari Tbk,organization,Puji Widodo,individual,2024-04-02,19304456768,False,,19327898352,2,9663949176.0,13633736584.767187,1.0,39.0,2,2,1,1,19304456768,0.9987871633235501,False
PD Saputra Tbk,corporation,Partai Nasional Demokrat,political-party,2024-12-06,1479681641,True,over_limit,1479681641,1,1479681641.0,,1.0,,1,1,434,434,1479681641,1.0,True
Pemkot Bogor,organization,Malik Halim,individual,2024-05-02,2246217213,True,illegal_source,108133141647,14,7723795831.928572,10674096650.432705,2.0,48.53846153846154,13,13,1,1,30338963732,0.28057044556276156,False
Nasrullah Saputra,individual,Maya Permata,individual,2025-10-10,1276719896,False,,1276719896,1,1276719896.0,,1.0,,1,1,1,1,1276719896,1.0,False
PD Riyanti Hakim Tbk,corporation,Partai Rakyat Sejahtera,political-party,2024-05-21,568070347,False,,568070347,1,568070347.0,,1.0,,1,1,404,404,568070347,1.0,False
Dwi Tampubolon,individual,Gaduh Hartati,individual,2025-01-27,1794735947,False,,1794735947,1,1794735947.0,,1.0,,1,1,1,1,1794735947,1.0,False
CV Putra Saragih,organization,Yuliana Widiastuti,individual,2025-01-03,41628061,True,smurfing,41628061,1,41628061.0,,1.0,,1,1,1,1,41628061,1.0,False
PD Utami Marpaung,organization,Partai Nasional Demokrat,political-party,2025-08-17,230105397,False,,230105397,1,230105397.0,,1.0,,1,1,434,434,230105397,1.0,False
"Ir. Natalia Situmorang, M.M.",individual,Dariati Astuti,individual,2025-03-07,606049379,False,,606049379,1,606049379.0,,1.0,,1,1,1,1,606049379,1.0,False
"R. Widya Nasyidah, M.Farm",individual,"Eko Ardianto, S.Pd",individual,2024-06-16,917790981,False,,917790981,1,917790981.0,,1.0,,1,1,1,1,917790981,1.0,False
Eka Siregar,individual,Partai Keadilan Indonesia,political-party,2025-10-04,145310433,False,,145310433,1,145310433.0,,1.0,,1,1,422,422,145310433,1.0,False
Atma Andriani,individual,Gandewa Purwanti,individual,2024-09-29,1123729074,True,self_funded,1123729074,1,1123729074.0,,1.0,,1,1,1,1,1123729074,1.0,False
Perum Habibi Tbk,corporation,"Oni Novitasari, S.E.",individual,2025-01-30,51884134,True,proxy,1250733405,2,625366702.5,811026826.1572574,1.0,113.0,2,2,1,1,1198849271,0.9585170318530031,False
Taufik Yulianti,individual,Partai Amanat Rakyat,political-party,2025-06-05,153539856,False,,153539856,1,153539856.0,,1.0,,1,1,411,411,153539856,1.0,False
CV Susanti Tbk,corporation,Edward Santoso,individual,2025-10-12,3309370978,True,self_funded,3403289112,2,1701644556.0,2273668510.57797,1.0,247.0,2,2,1,1,3309370978,0.9724037156676333,False
Lutfan Sihombing,individual,Partai Rakyat Sejahtera,political-party,2024-09-27,72779963,True,smurfing,72779963,1,72779963.0,,1.0,,1,1,404,404,72779963,1.0,False
Kasiyah Mandasari,individual,Syahrini Puspasari,individual,2024-02-10,1262058917,False,,1262058917,1,1262058917.0,,1.0,,1,1,1,1,1262058917,1.0,False
"drg. Bala Kusumo, S.I.Kom",individual,Pia Hasanah,individual,2024-05-30,269216340,False,,269216340,1,269216340.0,,1.0,,1,1,1,1,269216340,1.0,False
Perum Riyanti Sihombing (Persero) Tbk,corporation,"Mahfud Wibisono, M.Ak",individual,2025-08-20,7909042068,False,,7909042068,1,7909042068.0,,1.0,,1,1,1,1,7909042068,1.0,False
Baktianto Hariyah,individual,Partai Demokrat,political-party,2024-07-18,26222231,False,,26222231,1,26222231.0,,1.0,,1,1,429,429,26222231,1.0,False
Zelda Susanti,individual,Eva Wasita,individual,2025-04-01,995530109,True,self_funded,995530109,1,995530109.0,,1.0,,1,1,1,1,995530109,1.0,False
Perum Wulandari Santoso,corporation,Janet Mardhiyah,individual,2025-12-22,16804093754,False,,16804093754,1,16804093754.0,,1.0,,1,1,2,2,16804093754,1.0,False
"Drs. Jamal Mayasari, S.IP",individual,Karen Rajata,individual,2024-04-30,443911440,True,self_funded,443911440,1,443911440.0,,1.0,,1,1,1,1,443911440,1.0,False
Vanesa Ardianto,individual,Partai Harapan Bangsa,political-party,2025-12-28,81890006,False,,81890006,1,81890006.0,,1.0,,1,1,436,436,81890006,1.0,False
PD Purnawati Iswahyudi Tbk,corporation,Hesti Mayasari,individual,2025-12-18,8254213328,True,self_funded,8254213328,1,8254213328.0,,1.0,,1,1,1,1,8254213328,1.0,False
PT Setiawan Tbk,corporation,Partai Demokrat,political-party,2025-05-22,1570719775,True,proxy,1570719775,1,1570719775.0,,1.0,,1,1,429,429,1570719775,1.0,True
Fitria Putra,individual,Partai Demokrat,political-party,2025-03-12,78349689,True,smurfing,78349689,1,78349689.0,,1.0,,1,1,429,429,78349689,1.0,False
Rika Samosir,individual,Partai Nasional Demokrat,political-party,2025-03-11,69222803,False,,69222803,1,69222803.0,,1.0,,1,1,434,434,69222803,1.0,False
CV Latupono Tbk,organization,Dewi Mardhiyah,individual,2025-08-17,275101117,True,proxy,275101117,1,275101117.0,,1.0,,1,1,1,1,275101117,1.0,False
